City,Year,Quarter,index_nsa,Median Household Income,Total Population,INDPRO,VIXCLS,CPI,Unemployment Rate,City GDP
Houston,1994,3,101.84,38936.0,1769500.0,69.10446666666667,12.53371212121212,2.6074390411376953,6.833333333333333,-10320700.40409112
Houston,1994,4,100.43,38843.2,1774000.0,70.50456666666666,15.258461538461537,2.6074390411376953,5.8999999999999995,-4816340.347712994
Houston,1995,1,100.0,38750.4,1775250.0,71.23963333333333,12.017307692307693,2.805418014526367,5.8999999999999995,-2053077.4916204214
Houston,1995,2,101.7,38657.6,1776500.0,71.46206666666667,12.188538461538462,2.805418014526367,6.066666666666666,395211.3240916729
Houston,1995,3,102.52,38564.8,1777750.0,72.15333333333334,12.447461538461539,2.805418014526367,6.333333333333333,4492622.632667303
Houston,1995,4,102.75,38472.0,1779000.0,72.73813333333334,12.861846153846153,2.805418014526367,5.633333333333333,8108932.268808603
Houston,1996,1,104.3,38379.2,1782250.0,73.23533333333334,15.362,2.9312081336975098,5.833333333333333,12318743.582383752
Houston,1996,2,103.81,38286.4,1785500.0,74.81196666666666,16.382769230769227,2.9312081336975098,5.633333333333333,19129853.825858116
Houston,1996,3,104.06,38193.6,1788750.0,75.78656666666667,16.768333333333334,2.9312081336975098,5.566666666666666,23441681.33049333
Houston,1996,4,104.62,38100.8,1792000.0,76.83006666666667,17.225530303030304,2.9312081336975098,5.233333333333333,28885144.133951068
Houston,1997,1,104.57,38008.0,1795750.0,78.28623333333333,19.942265625,2.3376882076263428,5.866666666666667,33448303.271614313
Houston,1997,2,106.1,37915.2,1799500.0,79.40383333333334,19.904461538461536,2.3376882076263428,5.533333333333334,40035302.60169411
Houston,1997,3,107.14,37822.4,1803250.0,81.2606,22.418181818181818,2.3376882076263428,5.433333333333334,46160000.71152663
Houston,1997,4,108.2,37729.6,1807000.0,83.32553333333334,27.166212121212123,2.3376882076263428,4.466666666666667,50730755.99148774
Houston,1998,1,110.74,37636.8,1812500.0,84.26833333333333,21.351015625,1.5522807836532593,4.6000000000000005,55512065.7927407
Houston,1998,2,111.86,37544.0,1818000.0,84.83383333333333,21.528153846153845,1.5522807836532593,4.5,60393872.55659413
Houston,1998,3,113.87,37451.2,1823500.0,85.47613333333334,29.74037878787879,1.5522807836532593,4.7,67105552.01928854
Houston,1998,4,115.41,37358.4,1829000.0,86.65466666666667,29.3180303030303,1.5522807836532593,4.033333333333333,74633664.85615587
Houston,1999,1,116.82,37265.6,1833250.0,87.61966666666666,27.2915625,2.1880264282226562,4.3999999999999995,79846611.27108097
Houston,1999,2,119.71,37172.8,1837500.0,88.44893333333334,24.385384615384616,2.1880264282226562,4.866666666666667,84939424.69556546
Houston,1999,3,122.66,37080.0,1841750.0,89.24696666666667,23.248863636363637,2.1880264282226562,5.233333333333333,91775097.00886905
Houston,1999,4,124.82,36987.2,1846000.0,90.83403333333332,22.62909090909091,2.1880264282226562,4.7,100628570.58146226
Houston,2000,1,126.48,36894.4,1878750.0,91.7389,23.15353846153846,3.3768539428710938,4.833333333333333,110228133.74722481
Houston,2000,2,128.53,36801.6,1911500.0,92.86746666666666,24.936384615384615,3.3768539428710938,4.366666666666666,125279106.41375148
Houston,2000,3,130.29,36708.8,1944250.0,92.80366666666667,19.181846153846152,3.3768539428710938,4.466666666666666,133679808.42135572
Houston,2000,4,131.17,36616.0,1977000.0,92.5487,26.06223076923077,3.3768539428710938,3.633333333333333,143870693.28429437
Houston,2001,1,135.41,36759.475,1981250.0,91.41146666666667,25.71976923076923,2.826171636581421,4.033333333333333,213736837.0
Houston,2001,2,136.85,36902.95,1985500.0,90.26006666666666,23.919923076923077,2.826171636581421,4.366666666666666,213736837.0
